Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
EN2001a_4100_4110,3,4,"[2, 1, 1, 0, 0]"
EN2001a_4110_4120,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4120_4130,3,6,"[3, 2, 1, 0, 0]"
EN2001a_4130_4140,3,3,"[1, 1, 1, 0, 0]"
EN2001a_4140_4150,3,3,"[1, 1, 1, 0, 0]"
EN2001a_4150_4160,3,5,"[3, 1, 1, 0, 0]"
EN2001a_4160_4170,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4170_4180,3,4,"[2, 1, 1, 0, 0]"
EN2001a_4180_4190,3,19,"[8, 7, 4, 0, 0]"
EN2001a_4190_4200,3,6,"[3, 2, 1, 0, 0]"
EN2001a_4200_4210,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4210_4220,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4220_4230,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4230_4240,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4240_4250,3,2,"[1, 1, 0, 0, 0]"
EN2001a_4250_4260,3,3,"[1, 1, 1, 0, 0]"
EN2001a_4260_4270,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4270_4280,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4280_4290,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4290_4300,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4300_4310,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4310_4320,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4320_4330,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4330_4340,2,7,"[4, 3, 0, 0, 0]"
EN2001a_4340_4350,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4350_4360,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4360_4370,2,7,"[4, 3, 0, 0, 0]"
EN2001a_4370_4380,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4380_4390,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4390_4400,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4400_4410,2,11,"[6, 5, 0, 0, 0]"
EN2001a_4410_4420,3,4,"[2, 1, 1, 0, 0]"
EN2001a_4420_4430,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4430_4440,3,6,"[3, 2, 1, 0, 0]"
EN2001a_4440_4450,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4450_4460,2,7,"[4, 3, 0, 0, 0]"
EN2001a_4460_4470,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4470_4480,2,13,"[7, 6, 0, 0, 0]"
EN2001a_4480_4490,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4490_4500,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4500_4510,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4510_4520,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4520_4530,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4530_4540,3,6,"[3, 2, 1, 0, 0]"
EN2001a_4540_4550,4,10,"[4, 3, 2, 1, 0]"
EN2001a_4550_4560,3,20,"[10, 7, 3, 0, 0]"
EN2001a_4560_4570,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4570_4580,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4580_4590,3,12,"[6, 3, 3, 0, 0]"
EN2001a_4590_4600,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4600_4610,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4610_4620,2,6,"[3, 3, 0, 0, 0]"
EN2001a_4620_4630,3,9,"[4, 4, 1, 0, 0]"
EN2001a_4630_4640,3,3,"[1, 1, 1, 0, 0]"
EN2001a_4640_4650,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4650_4660,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4660_4670,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4670_4680,3,9,"[4, 4, 1, 0, 0]"
EN2001a_4680_4690,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4690_4700,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4700_4710,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4710_4720,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4720_4730,3,5,"[2, 2, 1, 0, 0]"
EN2001a_4730_4740,2,9,"[5, 4, 0, 0, 0]"
EN2001a_4740_4750,3,4,"[2, 1, 1, 0, 0]"
EN2001a_4750_4760,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4760_4770,3,12,"[6, 4, 2, 0, 0]"
EN2001a_4770_4780,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4780_4790,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4790_4800,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4800_4810,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4810_4820,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4820_4830,3,5,"[2, 2, 1, 0, 0]"
EN2001a_4830_4840,2,7,"[4, 3, 0, 0, 0]"
EN2001a_4840_4850,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4850_4860,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4860_4870,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4870_4880,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4880_4890,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4890_4900,2,5,"[3, 2, 0, 0, 0]"
EN2001a_4900_4910,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4910_4920,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4920_4930,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4930_4940,2,8,"[4, 4, 0, 0, 0]"
EN2001a_4940_4950,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4950_4960,2,8,"[4, 4, 0, 0, 0]"
EN2001a_4960_4970,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4970_4980,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4980_4990,2,4,"[2, 2, 0, 0, 0]"
EN2001a_4990_5000,2,12,"[6, 6, 0, 0, 0]"
EN2001a_5000_5010,1,1,"[1, 0, 0, 0, 0]"
EN2001a_5010_5020,2,4,"[2, 2, 0, 0, 0]"
EN2001a_5020_5030,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5030_5040,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5040_5050,4,8,"[3, 3, 1, 1, 0]"
EN2001a_5050_5060,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5060_5070,2,3,"[2, 1, 0, 0, 0]"
EN2001a_5070_5080,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5080_5090,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5090_5100,2,4,"[2, 2, 0, 0, 0]"
EN2001a_5100_5110,2,8,"[4, 4, 0, 0, 0]"
EN2001a_5110_5120,2,2,"[1, 1, 0, 0, 0]"
EN2001a_5120_5130,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0030_0040,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0040_0050,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0050_0060,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0060_0070,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0070_0080,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0080_0090,3,7,"[4, 2, 1, 0, 0]"
EN2001b_0090_0100,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0100_0110,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0110_0120,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0120_0130,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0130_0140,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0140_0150,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0150_0160,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0160_0170,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0170_0180,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0180_0190,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0190_0200,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0200_0210,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0210_0220,3,5,"[2, 2, 1, 0, 0]"
EN2001b_0220_0230,3,4,"[2, 1, 1, 0, 0]"
EN2001b_0230_0240,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0240_0250,2,13,"[7, 6, 0, 0, 0]"
EN2001b_0250_0260,2,12,"[6, 6, 0, 0, 0]"
EN2001b_0260_0270,2,8,"[4, 4, 0, 0, 0]"
EN2001b_0270_0280,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0280_0290,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0290_0300,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0300_0310,2,5,"[3, 2, 0, 0, 0]"
EN2001b_0310_0320,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0320_0330,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0330_0340,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0340_0350,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0350_0360,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0360_0370,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0370_0380,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0380_0390,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0390_0400,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0400_0410,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0410_0420,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0420_0430,3,9,"[4, 3, 2, 0, 0]"
EN2001b_0430_0440,2,7,"[4, 3, 0, 0, 0]"
EN2001b_0440_0450,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0450_0460,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0460_0470,3,8,"[4, 3, 1, 0, 0]"
EN2001b_0470_0480,3,11,"[5, 4, 2, 0, 0]"
EN2001b_0480_0490,2,6,"[3, 3, 0, 0, 0]"
EN2001b_0490_0500,3,9,"[3, 3, 3, 0, 0]"
EN2001b_0500_0510,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0510_0520,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0520_0530,3,5,"[2, 2, 1, 0, 0]"
EN2001b_0530_0540,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0540_0550,2,6,"[3, 3, 0, 0, 0]"
EN2001b_0550_0560,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0560_0570,3,3,"[1, 1, 1, 0, 0]"
EN2001b_0570_0580,3,8,"[3, 3, 2, 0, 0]"
EN2001b_0580_0590,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0590_0600,2,6,"[3, 3, 0, 0, 0]"
EN2001b_0600_0610,3,7,"[3, 3, 1, 0, 0]"
EN2001b_0610_0620,3,7,"[3, 2, 2, 0, 0]"
EN2001b_0620_0630,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0630_0640,2,4,"[2, 2, 0, 0, 0]"
EN2001b_0640_0650,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0650_0660,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0660_0670,2,5,"[3, 2, 0, 0, 0]"
EN2001b_0670_0680,2,8,"[4, 4, 0, 0, 0]"
EN2001b_0680_0690,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0690_0700,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0700_0710,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0710_0720,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0720_0730,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0730_0740,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0740_0750,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0750_0760,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0760_0770,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0770_0780,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0780_0790,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0790_0800,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0800_0810,2,7,"[4, 3, 0, 0, 0]"
EN2001b_0810_0820,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0820_0830,2,5,"[3, 2, 0, 0, 0]"
EN2001b_0830_0840,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0840_0850,2,4,"[2, 2, 0, 0, 0]"
EN2001b_0850_0860,2,4,"[2, 2, 0, 0, 0]"
EN2001b_0860_0870,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0870_0880,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0880_0890,2,2,"[1, 1, 0, 0, 0]"
EN2001b_0890_0900,2,10,"[5, 5, 0, 0, 0]"
EN2001b_0900_0910,2,5,"[3, 2, 0, 0, 0]"
EN2001b_0910_0920,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0920_0930,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0930_0940,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0940_0950,2,3,"[2, 1, 0, 0, 0]"
EN2001b_0950_0960,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0960_0970,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0970_0980,3,3,"[1, 1, 1, 0, 0]"
EN2001b_0980_0990,1,1,"[1, 0, 0, 0, 0]"
EN2001b_0990_1000,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1000_1010,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1010_1020,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1020_1030,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1030_1040,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1040_1050,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1050_1060,3,4,"[2, 1, 1, 0, 0]"
EN2001b_1060_1070,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1070_1080,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1080_1090,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1090_1100,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1100_1110,2,6,"[3, 3, 0, 0, 0]"
EN2001b_1110_1120,2,8,"[4, 4, 0, 0, 0]"
EN2001b_1120_1130,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1130_1140,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1140_1150,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1150_1160,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1160_1170,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1170_1180,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1180_1190,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1190_1200,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1200_1210,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1210_1220,2,4,"[2, 2, 0, 0, 0]"
EN2001b_1220_1230,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1230_1240,2,13,"[7, 6, 0, 0, 0]"
EN2001b_1240_1250,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1250_1260,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1260_1270,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1270_1280,2,6,"[3, 3, 0, 0, 0]"
EN2001b_1280_1290,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1290_1300,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1300_1310,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1310_1320,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1320_1330,2,4,"[2, 2, 0, 0, 0]"
EN2001b_1330_1340,2,5,"[3, 2, 0, 0, 0]"
EN2001b_1340_1350,2,7,"[4, 3, 0, 0, 0]"
EN2001b_1350_1360,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1360_1370,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1370_1380,2,6,"[3, 3, 0, 0, 0]"
EN2001b_1380_1390,2,5,"[3, 2, 0, 0, 0]"
EN2001b_1390_1400,2,12,"[6, 6, 0, 0, 0]"
EN2001b_1400_1410,3,4,"[2, 1, 1, 0, 0]"
EN2001b_1410_1420,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1420_1430,2,16,"[8, 8, 0, 0, 0]"
EN2001b_1430_1440,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1440_1450,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1450_1460,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1460_1470,3,18,"[8, 6, 4, 0, 0]"
EN2001b_1470_1480,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1480_1490,2,7,"[4, 3, 0, 0, 0]"
EN2001b_1490_1500,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1500_1510,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1510_1520,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1520_1530,2,5,"[3, 2, 0, 0, 0]"
EN2001b_1530_1540,3,3,"[1, 1, 1, 0, 0]"
EN2001b_1540_1550,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1550_1560,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1560_1570,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1570_1580,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1580_1590,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1590_1600,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1600_1610,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1610_1620,3,14,"[5, 5, 4, 0, 0]"
EN2001b_1620_1630,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1630_1640,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1640_1650,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1650_1660,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1660_1670,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1670_1680,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1680_1690,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1690_1700,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1700_1710,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1710_1720,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1720_1730,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1730_1740,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1740_1750,3,7,"[4, 2, 1, 0, 0]"
EN2001b_1750_1760,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1760_1770,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1770_1780,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1780_1790,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1790_1800,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1800_1810,2,15,"[8, 7, 0, 0, 0]"
EN2001b_1810_1820,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1820_1830,3,8,"[4, 3, 1, 0, 0]"
EN2001b_1830_1840,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1840_1850,2,4,"[2, 2, 0, 0, 0]"
EN2001b_1850_1860,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1860_1870,3,6,"[3, 2, 1, 0, 0]"
EN2001b_1870_1880,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1880_1890,3,7,"[3, 2, 2, 0, 0]"
EN2001b_1890_1900,2,4,"[2, 2, 0, 0, 0]"
EN2001b_1900_1910,3,4,"[2, 1, 1, 0, 0]"
EN2001b_1910_1920,2,4,"[2, 2, 0, 0, 0]"
EN2001b_1920_1930,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1930_1940,2,9,"[5, 4, 0, 0, 0]"
EN2001b_1940_1950,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1950_1960,2,9,"[5, 4, 0, 0, 0]"
EN2001b_1960_1970,2,3,"[2, 1, 0, 0, 0]"
EN2001b_1970_1980,2,2,"[1, 1, 0, 0, 0]"
EN2001b_1980_1990,1,1,"[1, 0, 0, 0, 0]"
EN2001b_1990_2000,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2000_2010,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2010_2020,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2020_2030,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2030_2040,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2040_2050,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2050_2060,2,6,"[3, 3, 0, 0, 0]"
EN2001b_2060_2070,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2070_2080,3,3,"[1, 1, 1, 0, 0]"
EN2001b_2080_2090,3,11,"[5, 4, 2, 0, 0]"
EN2001b_2090_2100,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2100_2110,3,11,"[5, 5, 1, 0, 0]"
EN2001b_2110_2120,3,9,"[5, 2, 2, 0, 0]"
EN2001b_2120_2130,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2130_2140,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2140_2150,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2150_2160,2,5,"[3, 2, 0, 0, 0]"
EN2001b_2160_2170,3,10,"[5, 3, 2, 0, 0]"
EN2001b_2170_2180,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2180_2190,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2190_2200,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2200_2210,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2210_2220,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2220_2230,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2230_2240,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2240_2250,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2250_2260,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2260_2270,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2270_2280,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2280_2290,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2290_2300,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2300_2310,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2310_2320,2,9,"[5, 4, 0, 0, 0]"
EN2001b_2320_2330,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2330_2340,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2340_2350,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2350_2360,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2360_2370,2,9,"[5, 4, 0, 0, 0]"
EN2001b_2370_2380,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2380_2390,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2390_2400,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2400_2410,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2410_2420,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2420_2430,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2430_2440,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2440_2450,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2450_2460,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2460_2470,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2470_2480,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2480_2490,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2490_2500,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2500_2510,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2510_2520,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2520_2530,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2530_2540,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2540_2550,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2550_2560,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2560_2570,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2570_2580,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2580_2590,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2590_2600,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2600_2610,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2610_2620,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2620_2630,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2630_2640,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2640_2650,2,6,"[3, 3, 0, 0, 0]"
EN2001b_2650_2660,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2660_2670,3,4,"[2, 1, 1, 0, 0]"
EN2001b_2670_2680,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2680_2690,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2690_2700,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2700_2710,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2710_2720,3,5,"[2, 2, 1, 0, 0]"
EN2001b_2720_2730,3,6,"[3, 2, 1, 0, 0]"
EN2001b_2730_2740,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2740_2750,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2750_2760,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2760_2770,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2770_2780,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2780_2790,2,10,"[5, 5, 0, 0, 0]"
EN2001b_2790_2800,2,5,"[3, 2, 0, 0, 0]"
EN2001b_2800_2810,2,5,"[3, 2, 0, 0, 0]"
EN2001b_2810_2820,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2820_2830,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2830_2840,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2840_2850,3,5,"[2, 2, 1, 0, 0]"
EN2001b_2850_2860,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2860_2870,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2870_2880,2,5,"[3, 2, 0, 0, 0]"
EN2001b_2880_2890,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2890_2900,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2900_2910,3,20,"[9, 8, 3, 0, 0]"
EN2001b_2910_2920,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2920_2930,2,4,"[2, 2, 0, 0, 0]"
EN2001b_2930_2940,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2940_2950,1,1,"[1, 0, 0, 0, 0]"
EN2001b_2950_2960,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2960_2970,2,5,"[3, 2, 0, 0, 0]"
EN2001b_2970_2980,2,3,"[2, 1, 0, 0, 0]"
EN2001b_2980_2990,2,2,"[1, 1, 0, 0, 0]"
EN2001b_2990_3000,2,3,"[2, 1, 0, 0, 0]"
EN2001b_3000_3010,2,5,"[3, 2, 0, 0, 0]"
EN2001b_3010_3020,1,1,"[1, 0, 0, 0, 0]"
EN2001b_3020_3030,2,2,"[1, 1, 0, 0, 0]"
EN2001b_3030_3040,1,1,"[1, 0, 0, 0, 0]"
EN2001b_3040_3050,1,1,"[1, 0, 0, 0, 0]"
EN2001b_3050_3060,1,1,"[1, 0, 0, 0, 0]"
EN2001b_3060_3070,1,1,"[1, 0, 0, 0, 0]"
EN2001b_3070_3080,2,8,"[4, 4, 0, 0, 0]"
EN2001b_3080_3090,2,2,"[1, 1, 0, 0, 0]"
EN2001b_3090_3100,1,1,"[1, 0, 0, 0, 0]"
